danger_level,elevation,temperature,wind_speed,humidity,avalanche_act,snow_depth
60.0,1980,8,34,58,1,3.113
40.0,2412,11,11,58,0,12.56
40.0,2520,-7,40,60,0,13.32
40.0,2338,11,29,62,0,12.09
60.0,2270,-32,27,63,0,14.84
60.0,2500,-8,13,57,1,12.69
40.0,2685,11,29,58,0,13.1
40.0,2680,-7,40,53,1,10.68
40.0,2760,11,29,65,0,12.43
60.0,2595,-23,33,58,0,16.51
40.0,2390,-22,12,56,0,7.927
40.0,2460,15,19,56,0,13.77
40.0,2490,-4,35,59,0,5.929
40.0,2387,-7,24,67,0,16.12
60.0,1930,-4,39,56,1,2.169
60.0,2065,-7,22,60,1,14.84
40.0,2500,-11,14,60,1,5.866
40.0,2710,11,29,54,0,3.468
40.0,2904,-16,16,61,0,12.63
40.0,2460,13,35,59,0,10.55
60.0,2465,11,31,53,0,15.99
40.0,2500,-32,7,65,1,16.02
40.0,2360,-7,24,58,1,12.28
60.0,2350,-34,13,59,0,5.907
60.0,2240,-17,19,48,1,12.56
60.0,2830,-4,39,56,0,16.63
40.0,2360,-27,6,65,0,15.99
60.0,2350,-14,7,62,0,15.99
40.0,2160,-16,16,61,0,6.868
40.0,2580,-7,16,59,0,17.08
60.0,2775,-27,38,62,0,15.99
40.0,2495,8,40,57,0,4.311
40.0,2540,-13,25,59,0,12.96
40.0,2015,4,10,50,0,8.76
40.0,2438,-7,24,53,0,8.14
40.0,1800,-22,12,65,0,13.37
40.0,2140,9,16,52,0,14.84
60.0,2585,-14,26,66,0,4.155
40.0,2430,13,35,65,0,15.48
60.0,2360,-23,33,56,0,13.63
40.0,2520,3,7,56,0,13.03
60.0,1760,-17,19,48,0,7.927
40.0,2295,11,29,61,0,16.39
40.0,2487,-27,8,50,0,11.42
60.0,2590,-21,10,57,0,2.865
60.0,2300,-7,22,63,0,15.58
40.0,2091,4,10,58,0,8.53
40.0,2550,8,40,62,0,3.113
40.0,2094,12,37,67,0,9.88
40.0,2040,11,29,58,0,15.18
40.0,2450,-7,24,63,0,15.11
60.0,2290,-32,27,53,1,5.317
60.0,2310,-28,14,62,1,11.96
40.0,2665,-4,35,61,0,12.43
60.0,2379,-26,27,57,1,5.051
40.0,2510,11,29,57,0,17.26
60.0,2280,14,35,57,0,10.62
60.0,2400,-34,13,63,1,15.99
60.0,2680,-8,12,68,0,15.11
60.0,2367,-4,39,62,1,11.46
40.0,2422,-27,6,58,0,6.395
40.0,2180,-20,11,61,1,17.53
40.0,2447,11,29,61,0,15.44
60.0,2340,-23,33,59,0,13.3
40.0,2560,-20,11,57,0,5.313
60.0,2670,15,15,65,0,15.38
60.0,2780,-4,39,58,0,4.155
40.0,2620,3,9,50,0,6.734
40.0,2400,-31,7,52,0,3.595
40.0,2660,13,35,50,0,2.613
40.0,2670,8,24,50,0,4.709
40.0,2904,-16,16,57,0,13.03
40.0,2430,-22,12,56,0,5.907
60.0,2670,-7,22,64,0,12.64
40.0,2311,-16,16,60,0,15.92
60.0,2310,15,36,59,0,16.19
40.0,2710,6,31,63,0,13.6
60.0,2360,-14,7,68,0,5.59
60.0,2465,-34,13,54,0,15.92
40.0,2700,11,11,58,1,7.934
40.0,2520,-11,14,59,0,15.58
60.0,2200,-23,33,54,0,6.659
60.0,2680,-27,38,66,0,13.44
60.0,2250,-34,13,62,0,16.12
40.0,2560,-22,12,50,0,12.63
60.0,2367,-14,7,57,1,14.84
60.0,2515,-32,27,54,1,15.92
40.0,2430,3,7,59,0,10.28
40.0,2640,11,11,60,0,11.91
60.0,2480,-24,10,54,1,16.51
60.0,1760,-17,19,63,0,13.5
40.0,2752,-11,23,50,0,13.24
40.0,2139,4,10,60,0,4.713
40.0,2495,-7,24,59,0,13.3
