Temperature (°C),Humidity (%),Precipitation (mm),Soil Moisture (%),Elevation (m),Landslide Risk Prediction
17,68,176,64,120,Low
26,33,65,24,672,Low
16,81,56,52,36,Low
25,53,136,70,583,Low
34,77,23,37,130,Low
15,84,70,58,462,Low
35,89,208,41,898,Low
35,41,147,51,256,Low
28,53,86,30,144,Low
21,62,41,29,807,Low
28,30,80,75,192,Low
32,66,214,71,925,Low
24,31,6,77,677,Low
25,84,116,27,837,Low
25,76,91,41,52,Low
24,56,15,89,712,Low
27,90,65,74,191,Low
23,72,144,53,66,Low
28,55,217,58,364,Low
31,53,64,39,829,Low
27,67,7,58,403,Low
31,49,106,88,494,Low
20,80,147,55,804,Low
30,51,115,32,943,Low
32,43,107,59,322,Low
30,45,143,71,749,Low
32,70,184,87,687,Low
18,35,71,84,782,Low
18,36,55,86,644,Low
31,38,77,30,75,Low
21,43,124,48,703,Low
20,48,175,23,541,Low
19,84,114,45,597,Low
27,95,194,68,575,Moderate
26,37,233,51,289,Low
26,84,69,83,272,Low
25,56,59,78,346,Low
15,84,65,36,439,Low
30,30,174,58,639,Low
27,43,193,47,755,Low
31,47,243,25,813,Low
23,91,118,78,994,Moderate
17,42,157,59,447,Low
28,32,39,23,865,Low
20,57,237,52,486,Low
23,40,199,47,466,Low
34,84,7,23,483,Low
33,52,27,57,249,Low
32,87,239,51,940,Low
16,65,159,54,597,Low
32,72,49,69,213,Low
34,86,152,40,407,Low
30,88,230,89,86,Low
28,44,96,82,238,Low
28,73,196,42,767,Low
23,53,131,77,136,Low
34,45,250,72,184,Low
29,53,58,88,718,Low
15,81,151,77,877,Moderate
21,50,186,90,680,Low
19,87,58,66,357,Low
23,76,54,71,839,Low
31,91,147,41,582,Low
21,64,125,65,180,Low
34,64,238,81,531,Low
23,53,112,87,628,Low
20,53,109,64,187,Low
15,31,132,82,448,Low
26,77,76,53,641,Low
24,88,107,29,552,Low
35,67,212,78,766,Low
33,42,59,23,695,Low
28,79,184,33,874,Low
22,57,185,87,610,Low
19,59,110,88,282,Low
17,57,217,71,43,Low
30,71,48,46,801,Low
34,31,67,30,60,Low
35,88,234,89,958,High
31,79,78,32,855,Low
19,37,57,28,725,Low
32,89,83,66,757,Moderate
31,51,129,54,431,Low
27,80,56,53,666,Low
19,87,99,43,727,Low
23,88,176,62,438,Moderate
18,87,149,54,818,Low
34,48,197,55,813,Low
35,61,6,46,650,Low
33,46,196,89,266,Low
32,85,5,72,157,Low
20,88,62,63,102,Low
30,93,19,80,798,Low
19,80,78,44,427,Low
22,65,1,64,348,Low
21,70,127,73,989,Low
15,42,209,78,594,Low
27,49,12,76,839,Low
34,36,121,81,784,Low
18,35,202,84,755,Low
28,91,226,33,399,Low
22,83,38,40,357,Low
26,41,222,82,324,Low
33,73,164,22,553,Low
25,59,224,86,713,Low
29,46,211,58,276,Low
25,59,196,69,515,Low
23,61,68,34,462,Low
20,67,72,60,184,Low
34,49,84,26,454,Low
29,71,159,29,512,Low
25,79,35,70,867,Low
23,56,241,46,578,Low
24,41,139,49,989,Low
17,81,35,44,813,Low
28,31,161,86,153,Low
28,82,238,23,53,Low
20,42,167,84,122,Low
16,51,72,85,353,Low
20,57,150,24,171,Low
15,93,16,78,507,Low
35,50,77,59,509,Low
22,86,219,89,447,High
16,90,115,87,575,Moderate
15,90,73,39,630,Low
26,69,211,28,543,Low
30,68,15,38,468,Low
20,63,149,37,398,Low
31,58,115,76,203,Low
16,64,58,36,823,Low
34,86,211,35,552,Low
32,78,220,53,4,Low
20,90,102,27,869,Low
19,92,204,38,22,Low
33,77,50,20,905,Low
25,80,8,40,468,Low
15,49,98,43,329,Low
30,64,10,47,683,Low
20,42,87,23,672,Low
19,83,134,25,328,Low
35,30,81,79,645,Low
21,62,95,32,81,Low
22,51,101,70,696,Low
28,88,209,78,765,High
20,79,21,20,284,Low
17,56,88,26,297,Low
34,62,14,34,62,Low
20,87,247,64,124,Low
22,58,213,83,332,Low
21,68,204,73,436,Low
18,35,212,49,556,Low
30,91,167,58,574,Low
24,51,108,50,615,Low
17,35,244,70,915,Low
24,58,108,51,439,Low
34,83,208,72,642,Moderate
18,44,83,66,593,Low
35,31,239,53,178,Low
32,41,195,41,561,Low
25,88,94,24,342,Low
21,42,111,21,726,Low
31,41,107,39,668,Low
26,83,5,24,502,Low
32,92,182,90,748,High
25,50,84,58,105,Low
22,77,97,45,286,Low
30,42,21,61,10,Low
16,68,233,84,575,Low
23,42,18,30,947,Low
16,43,221,52,769,Low
17,36,155,68,429,Low
28,65,127,42,236,Low
30,73,5,38,554,Low
18,83,175,62,405,Moderate
29,89,192,43,525,Low
29,60,217,35,872,Low
29,31,1,73,860,Low
18,61,65,89,67,Low
23,45,218,45,949,Low
30,42,214,66,200,Low
19,91,53,49,65,Low
15,95,86,64,115,Low
31,55,171,64,159,Low
18,77,104,20,642,Low
18,49,84,73,256,Low
33,93,125,39,404,Low
23,69,168,67,333,Low
32,87,154,63,764,Moderate
19,36,176,44,429,Low
19,59,13,38,898,Low
31,62,117,46,875,Low
16,90,124,87,371,High
24,52,206,58,548,Low
17,47,21,62,515,Low
26,74,247,73,95,Low
21,38,210,80,478,Low
23,75,241,78,540,Moderate
26,87,91,75,745,Moderate
25,45,71,40,410,Low
19,47,198,73,438,Low
17,71,179,64,873,Moderate
22,79,158,24,388,Low
35,31,138,20,253,Low
31,81,31,27,984,Low
25,66,139,52,336,Low
32,49,160,21,464,Low
19,81,10,37,860,Low
30,82,123,57,889,Low
27,94,1,55,863,Low
18,74,97,56,757,Low
28,89,30,24,132,Low
17,73,110,42,975,Low
21,55,166,56,823,Low
35,44,247,62,783,Low
20,35,190,87,491,Low
31,58,91,40,353,Low
25,60,118,41,392,Low
25,69,208,87,79,Low
24,73,111,37,531,Low
26,67,74,30,267,Low
32,41,95,77,744,Low
19,72,16,58,560,Low
19,72,169,30,58,Low
27,80,48,59,468,Low
28,62,79,70,843,Low
28,41,194,45,121,Low
28,31,29,48,223,Low
18,61,225,57,977,Low
18,35,239,29,651,Low
19,63,206,25,326,Low
34,63,203,45,680,Low
31,72,203,61,159,Low
19,77,49,81,998,Low
26,88,87,40,372,Low
20,37,110,31,904,Low
28,39,55,28,603,Low
30,75,191,61,722,Moderate
25,79,188,51,290,Low
17,50,27,74,937,Low
34,75,3,61,345,Low
32,94,12,49,730,Low
22,82,232,81,111,Low
26,80,9,63,986,Low
35,49,88,53,729,Low
23,46,78,87,82,Low
17,88,16,27,431,Low
21,90,0,54,768,Low
18,39,177,52,495,Low
29,93,37,43,26,Low
35,80,11,54,316,Low
32,81,170,39,47,Low
19,55,78,40,197,Low
29,40,100,75,83,Low
24,88,197,55,410,Low
26,94,3,83,735,Low
25,54,234,21,524,Low
30,82,63,90,886,Low
27,57,176,70,851,Low
19,34,104,85,52,Low
29,73,172,34,781,Low
27,31,198,69,804,Low
28,40,38,78,427,Low
25,88,189,34,508,Low
20,40,127,43,130,Low
26,30,116,83,970,Low
25,63,197,42,71,Low
21,78,220,47,621,Low
18,70,150,34,732,Low
18,92,220,46,553,Low
27,38,85,66,575,Low
22,31,235,41,313,Low
32,56,100,24,364,Low
18,77,115,23,897,Low
16,78,229,90,383,Moderate
26,92,129,34,535,Low
27,39,193,23,957,Low
20,35,187,25,799,Low
17,71,196,68,724,Moderate
29,89,17,61,664,Low
17,41,232,34,405,Low
17,85,142,68,920,Moderate
25,88,134,86,10,Low
32,42,49,74,421,Low
17,69,193,32,878,Low
24,47,94,57,924,Low
33,72,187,48,848,Low
21,77,129,61,560,Moderate
31,32,207,71,411,Low
17,43,89,85,100,Low
35,94,147,83,910,High
24,90,22,63,569,Low
22,71,36,24,489,Low
17,48,212,86,324,Low
30,47,28,69,517,Low
26,67,159,24,490,Low
21,30,191,66,915,Low
32,55,175,48,425,Low
33,83,139,70,730,Moderate
28,66,64,69,21,Low
26,62,209,39,239,Low
20,36,209,53,189,Low
19,50,107,82,719,Low
20,53,95,80,416,Low
33,80,77,55,560,Low
25,31,183,24,327,Low
22,46,74,37,534,Low
28,58,86,55,143,Low
17,70,15,26,221,Low
17,77,47,30,847,Low
29,87,153,45,465,Low
15,80,2,41,991,Low
19,81,114,27,386,Low
31,48,151,35,395,Low
15,94,121,80,129,Low
15,43,222,79,100,Low
34,94,91,66,756,Moderate
30,77,120,61,852,Moderate
26,33,176,52,161,Low
23,77,148,84,278,Moderate
31,84,114,31,388,Low
